Product_ID,Product_Name,Category,Sub-Category
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage
FUR-FU-10003773,"Global Task Chair, Black",Furniture,Chairs
TEC-PH-10002293,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings
OFF-PA-10002377,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones
OFF-FA-10002780,Xerox 1916,Office Supplies,Paper
OFF-PA-10001804,Staples,Office Supplies,Fasteners
OFF-PA-10001736,Xerox 195,Office Supplies,Paper
OFF-AR-10001149,Xerox 1880,Office Supplies,Paper
OFF-FA-10002988,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art
OFF-BI-10004781,Ideal Clamps,Office Supplies,Fasteners
OFF-SU-10001218,GBC Wire Binding Strips,Office Supplies,Binders
OFF-AR-10000940,Fiskars Softgrip Scissors,Office Supplies,Supplies
OFF-EN-10004030,Newell 343,Office Supplies,Art
OFF-PA-10004327,Convenience Packs of Business Envelopes,Office Supplies,Envelopes
OFF-AP-10001058,Xerox 1911,Office Supplies,Paper
FUR-FU-10000521,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances
TEC-PH-10000215,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings
TEC-PH-10001448,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones
OFF-BI-10002735,Anker Astro 15000mAh USB Portable Charger,Technology,Phones
OFF-AP-10000326,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders
TEC-PH-10001254,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances
OFF-PA-10001950,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones
OFF-PA-10002254,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper
OFF-ST-10001590,Xerox 1883,Office Supplies,Paper
OFF-AR-10001547,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage
OFF-LA-10002475,Newell 311,Office Supplies,Art
TEC-PH-10004536,Avery 519,Office Supplies,Labels
OFF-PA-10002751,Avaya 5420 Digital phone,Technology,Phones
TEC-AC-10003657,Xerox 1920,Office Supplies,Paper
OFF-EN-10001990,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories
OFF-BI-10004002,Staple envelope,Office Supplies,Envelopes
OFF-AR-10004441,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders
TEC-MA-10000822,BIC Brite Liner Highlighters,Office Supplies,Art
OFF-ST-10000991,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines
FUR-CH-10004287,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage
OFF-AR-10002656,SAFCO Arco Folding Chair,Furniture,Chairs
OFF-AP-10002518,Sanford Liquid Accent Highlighters,Office Supplies,Art
TEC-PH-10003931,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances
OFF-PA-10000659,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones
OFF-PA-10001144,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Office Supplies,Paper
FUR-CH-10003817,Xerox 1913,Office Supplies,Paper
OFF-AP-10000891,"Global Value Steno Chair, Gray",Furniture,Chairs
OFF-LA-10003148,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances
OFF-AP-10002684,Avery 51,Office Supplies,Labels
FUR-CH-10004698,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances
OFF-SU-10002189,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs
OFF-AR-10001940,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies
OFF-ST-10003455,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art
TEC-AC-10004659,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage
TEC-PH-10003273,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories
TEC-PH-10004896,AT&T TR1909W,Technology,Phones
TEC-AC-10002345,Nokia Lumia 521 (T-Mobile),Technology,Phones
OFF-BI-10001890,HP Standard 104 key PS/2 Keyboard,Technology,Accessories
TEC-AC-10002323,Avery Poly Binder Pockets,Office Supplies,Binders
OFF-ST-10001328,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
FUR-BO-10002613,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage
TEC-PH-10001552,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases
OFF-PA-10000061,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones
OFF-AR-10003514,Xerox 205,Office Supplies,Paper
OFF-AR-10004685,4009 Highlighters by Sanford,Office Supplies,Art
OFF-AR-10004027,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art
OFF-ST-10001414,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art
OFF-BI-10000343,Decoflex Hanging Personal Folder File,Office Supplies,Storage
OFF-PA-10002749,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders
OFF-PA-10002666,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper
FUR-TA-10004289,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper
OFF-AP-10003622,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables
OFF-AP-10003217,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances
FUR-FU-10002960,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances
TEC-PH-10001918,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings
OFF-ST-10000642,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones
TEC-PH-10001700,"Tennsco Lockers, Gray",Office Supplies,Storage
OFF-FA-10000134,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones
OFF-ST-10001522,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners
TEC-AC-10001266,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage
OFF-LA-10004544,Memorex Micro Travel Drive 8 GB,Technology,Accessories
FUR-BO-10004695,Avery 505,Office Supplies,Labels
TEC-MA-10000864,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases
TEC-AC-10000109,Cisco 9971 IP Video Phone Charcoal,Technology,Machines
TEC-PH-10002563,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories
OFF-FA-10000585,Adtran 1202752G1,Technology,Phones
OFF-PA-10004000,OIC Bulk Pack Metal Binder Clips,Office Supplies,Fasteners
FUR-FU-10000087,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,Paper
TEC-MA-10001148,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings
OFF-AR-10001958,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines
OFF-AR-10001026,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art
FUR-TA-10003748,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art
OFF-ST-10002485,Bevis 36 x 72 Conference Tables,Furniture,Tables
FUR-CH-10004860,Rogers Deluxe File Chest,Office Supplies,Storage
FUR-CH-10004477,Global Low Back Tilter Chair,Furniture,Chairs
OFF-BI-10001679,"Global Push Button Manager's Chair, Indigo",Furniture,Chairs
FUR-TA-10001705,GBC Instant Index System for Binding Systems,Office Supplies,Binders
FUR-TA-10003473,Bush Advantage Collection Round Conference Table,Furniture,Tables
FUR-FU-10004017,Bretford Rectangular Conference Table Tops,Furniture,Tables
TEC-AC-10003832,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings
OFF-PA-10002479,Logitech P710e Mobile Speakerphone,Technology,Accessories
OFF-PA-10003349,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper
FUR-FU-10000576,Xerox 1957,Office Supplies,Paper
FUR-FU-10004351,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings
TEC-PH-10000011,Staple-based wall hangings,Furniture,Furnishings
FUR-TA-10002607,PureGear Roll-On Screen Protector,Technology,Phones
FUR-FU-10002505,KI Conference Tables,Furniture,Tables
OFF-ST-10002276,Eldon 100 Class Desk Accessories,Furniture,Furnishings
OFF-PA-10004082,Safco Steel Mobile File Cart,Office Supplies,Storage
OFF-AP-10002945,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper
FUR-CH-10002965,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances
OFF-PA-10004569,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs
OFF-ST-10001228,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,Paper
OFF-EN-10003296,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage
OFF-ST-10004804,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes
TEC-PH-10001580,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage
TEC-AC-10000290,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones
OFF-ST-10002790,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories
OFF-BI-10003460,Safco Industrial Shelving,Office Supplies,Storage
OFF-AP-10002203,Acco 3-Hole Punch,Office Supplies,Binders
TEC-MA-10003353,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances
TEC-PH-10001433,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines
TEC-AC-10004469,Cisco Small Business SPA 502G VoIP phone,Technology,Phones
OFF-AR-10003602,Microsoft Sculpt Comfort Mouse,Technology,Accessories
OFF-FA-10003472,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art
OFF-ST-10004180,Bagged Rubber Bands,Office Supplies,Fasteners
OFF-EN-10004386,Safco Commercial Shelving,Office Supplies,Storage
OFF-ST-10003208,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes
TEC-AC-10003628,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage
FUR-FU-10003274,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories
OFF-BI-10002557,Regeneration Desk Collection,Furniture,Furnishings
OFF-PA-10002615,Presstex Flexible Ring Binders,Office Supplies,Binders
OFF-AR-10001427,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,Paper
OFF-PA-10000673,Newell 330,Office Supplies,Art
OFF-PA-10004470,"Post-it Important Message Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,Paper
OFF-ST-10000876,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper
OFF-LA-10002043,Eldon Simplefile Box Office,Office Supplies,Storage
OFF-BI-10004967,Avery 489,Office Supplies,Labels
TEC-PH-10001760,Round Ring Binders,Office Supplies,Binders
FUR-TA-10002903,Bose SoundLink Bluetooth Speaker,Technology,Phones
OFF-PA-10000474,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables
TEC-AC-10001956,Easy-staple paper,Office Supplies,Paper
OFF-PA-10004100,Microsoft Arc Touch Mouse,Technology,Accessories
OFF-BI-10000778,Xerox 216,Office Supplies,Paper
OFF-SU-10000646,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders
OFF-FA-10002983,Premier Automatic Letter Opener,Office Supplies,Supplies
OFF-LA-10004689,Advantus SlideClip Paper Clips,Office Supplies,Fasteners
TEC-AC-10002001,Avery 512,Office Supplies,Labels
FUR-BO-10004709,Logitech Wireless Gaming Headset G930,Technology,Accessories
FUR-FU-10004091,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases
FUR-CH-10001891,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings
FUR-FU-10002918,Global Deluxe Office Fabric Chairs,Furniture,Chairs
OFF-BI-10004593,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings
OFF-FA-10004854,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders
OFF-PA-10002105,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Office Supplies,Fasteners
OFF-ST-10002756,Xerox 223,Office Supplies,Paper
OFF-PA-10004243,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage
FUR-FU-10001861,Xerox 1939,Office Supplies,Paper
OFF-BI-10002706,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Furniture,Furnishings
FUR-TA-10002533,Avery Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Binders
FUR-FU-10002671,BPI Conference Tables,Furniture,Tables
OFF-AR-10003651,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings
OFF-BI-10001072,Newell 350,Office Supplies,Art
OFF-AR-10002135,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Office Supplies,Binders
OFF-AR-10002804,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art
FUR-FU-10001918,Faber Castell Col-Erase Pencils,Office Supplies,Art
FUR-CH-10004086,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings
FUR-FU-10001756,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs
OFF-LA-10000634,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings
FUR-FU-10001588,Avery 509,Office Supplies,Labels
TEC-PH-10002398,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings
OFF-PA-10001937,AT&T 1070 Corded Phone,Technology,Phones
OFF-AR-10003373,Xerox 21,Office Supplies,Paper
FUR-CH-10002602,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art
TEC-MA-10002927,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs
TEC-AC-10000892,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines
OFF-FA-10000624,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories
TEC-AC-10001908,OIC Binder Clips,Office Supplies,Fasteners
FUR-FU-10001967,Logitech Wireless Headset h800,Technology,Accessories
TEC-PH-10003645,Telescoping Adjustable Floor Lamp,Furniture,Furnishings
OFF-ST-10000675,Aastra 57i VoIP phone,Technology,Phones
FUR-CH-10003312,"File Shuttle II and Handi-File, Black",Office Supplies,Storage
OFF-LA-10001074,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
OFF-BI-10001524,Round Specialty Laser Printer Labels,Office Supplies,Labels
TEC-PH-10004614,GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders
OFF-BI-10001153,AT&T 841000 Phone,Technology,Phones
OFF-BI-10001982,Ibico Recycled Grain-Textured Covers,Office Supplies,Binders
OFF-BI-10001922,Wilson Jones Custom Binder Spines & Labels,Office Supplies,Binders
TEC-CO-10001449,Storex Dura Pro Binders,Office Supplies,Binders
OFF-BI-10004140,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers
OFF-BI-10003314,Avery Non-Stick Binders,Office Supplies,Binders
FUR-TA-10004575,Tuff Stuff Recycled Round Ring Binders,Office Supplies,Binders
OFF-FA-10000490,Hon 5100 Series Wood Tables,Furniture,Tables
OFF-AR-10000122,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Office Supplies,Fasteners
TEC-PH-10000702,Newell 314,Office Supplies,Art
OFF-AR-10001374,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Technology,Phones
OFF-PA-10001970,"BIC Brite Liner Highlighters, Chisel Tip",Office Supplies,Art
OFF-BI-10002160,Xerox 1881,Office Supplies,Paper
OFF-BI-10004995,Acco Hanging Data Binders,Office Supplies,Binders
FUR-BO-10002268,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders
OFF-EN-10001137,Sauder Barrister Bookcases,Furniture,Bookcases
